sentence_number,start,end,text,words,speaker
115,352.2,352.36,What?,"[{'word': 'What?', 'start': 352.2, 'end': 352.36, 'score': 0.889, 'speaker': 'SPEAKER_01'}]",SPEAKER_01
116,352.76,368.951,"In the sample that it shows, it's the Stuff You Should Know podcast subjects, the duality of caffeine, and then the topics that it shows that you can then search for more podcasts about is caffeine, which is obvious.","[{'word': 'In', 'start': 352.76, 'end': 354.782, 'score': 0.661, 'speaker': 'SPEAKER_01'}, {'word': 'the', 'start': 354.882, 'end': 355.122, 'score': 0.912, 'speaker': 'SPEAKER_01'}, {'word': 'sample', 'start': 356.063, 'end': 356.423, 'score': 0.892, 'speaker': 'SPEAKER_01'}, {'word': 'that', 'start': 356.463, 'end': 356.583, 'score': 0.998, 'speaker': 'SPEAKER_01'}, {'word': 'it', 'start': 356.603, 'end': 356.663, 'score': 0.738, 'speaker': 'SPEAKER_01'}, {'word': 'shows,', 'start': 356.703, 'end': 357.103, 'score': 0.687, 'speaker': 'SPEAKER_01'}, {'word': ""it's"", 'start': 357.944, 'end': 358.084, 'score': 0.751, 'speaker': 'SPEAKER_01'}, {'word': 'the', 'start': 358.164, 'end': 358.464, 'score': 0.846, 'speaker': 'SPEAKER_01'}, {'word': 'Stuff', 'start': 358.584, 'end': 358.744, 'score': 0.899, 'speaker': 'SPEAKER_01'}, {'word': 'You', 'start': 358.764, 'end': 358.824, 'score': 0.002, 'speaker': 'SPEAKER_01'}, {'word': 'Should', 'start': 358.844, 'end': 358.964, 'score': 0.06, 'speaker': 'SPEAKER_01'}, {'word': 'Know', 'start': 358.984, 'end': 359.085, 'score': 0.127, 'speaker': 'SPEAKER_01'}, {'word': 'podcast', 'start': 359.125, 'end': 359.805, 'score': 0.87, 'speaker': 'SPEAKER_01'}, {'word': 'subjects,', 'start': 360.265, 'end': 360.706, 'score': 0.812, 'speaker': 'SPEAKER_01'}, {'word': 'the', 'start': 360.746, 'end': 360.826, 'score': 0.943, 'speaker': 'SPEAKER_01'}, {'word': 'duality', 'start': 360.846, 'end': 361.306, 'score': 0.899, 'speaker': 'SPEAKER_01'}, {'word': 'of', 'start': 361.326, 'end': 361.386, 'score': 0.756, 'speaker': 'SPEAKER_01'}, {'word': 'caffeine,', 'start': 361.426, 'end': 361.926, 'score': 0.704, 'speaker': 'SPEAKER_01'}, {'word': 'and', 'start': 362.207, 'end': 362.287, 'score': 0.877, 'speaker': 'SPEAKER_01'}, {'word': 'then', 'start': 362.307, 'end': 362.427, 'score': 0.857, 'speaker': 'SPEAKER_01'}, {'word': 'the', 'start': 362.467, 'end': 362.527, 'score': 0.984, 'speaker': 'SPEAKER_01'}, {'word': 'topics', 'start': 362.587, 'end': 363.027, 'score': 0.863, 'speaker': 'SPEAKER_01'}, {'word': 'that', 'start': 363.087, 'end': 363.267, 'score': 0.911, 'speaker': 'SPEAKER_01'}, {'word': 'it', 'start': 363.307, 'end': 363.367, 'score': 0.745, 'speaker': 'SPEAKER_01'}, {'word': 'shows', 'start': 363.647, 'end': 363.988, 'score': 0.86, 'speaker': 'SPEAKER_01'}, {'word': 'that', 'start': 364.048, 'end': 364.188, 'score': 0.878, 'speaker': 'SPEAKER_01'}, {'word': 'you', 'start': 364.248, 'end': 364.368, 'score': 0.911, 'speaker': 'SPEAKER_01'}, {'word': 'can', 'start': 364.388, 'end': 364.568, 'score': 0.932, 'speaker': 'SPEAKER_01'}, {'word': 'then', 'start': 364.868, 'end': 365.088, 'score': 0.92, 'speaker': 'SPEAKER_01'}, {'word': 'search', 'start': 365.228, 'end': 365.529, 'score': 0.814, 'speaker': 'SPEAKER_01'}, {'word': 'for', 'start': 365.629, 'end': 365.749, 'score': 0.934, 'speaker': 'SPEAKER_01'}, {'word': 'more', 'start': 365.789, 'end': 365.949, 'score': 0.794, 'speaker': 'SPEAKER_01'}, {'word': 'podcasts', 'start': 365.969, 'end': 366.389, 'score': 0.816, 'speaker': 'SPEAKER_01'}, {'word': 'about', 'start': 366.429, 'end': 366.709, 'score': 0.788, 'speaker': 'SPEAKER_01'}, {'word': 'is', 'start': 366.769, 'end': 366.91, 'score': 0.488, 'speaker': 'SPEAKER_01'}, {'word': 'caffeine,', 'start': 367.21, 'end': 367.73, 'score': 0.656, 'speaker': 'SPEAKER_01'}, {'word': 'which', 'start': 368.03, 'end': 368.19, 'score': 0.85, 'speaker': 'SPEAKER_01'}, {'word': 'is', 'start': 368.29, 'end': 368.411, 'score': 0.64, 'speaker': 'SPEAKER_01'}, {'word': 'obvious.', 'start': 368.571, 'end': 368.951, 'score': 0.786, 'speaker': 'SPEAKER_01'}]",SPEAKER_01
117,369.791,371.853,"Coffee, dopamine.","[{'word': 'Coffee,', 'start': 369.791, 'end': 370.192, 'score': 0.943, 'speaker': 'SPEAKER_01'}, {'word': 'dopamine.', 'start': 371.392, 'end': 371.853, 'score': 0.833, 'speaker': 'SPEAKER_01'}]",SPEAKER_01
118,372.815,374.296,What if I just search those terms?,"[{'word': 'What', 'start': 372.815, 'end': 372.915, 'score': 0.984, 'speaker': 'SPEAKER_01'}, {'word': 'if', 'start': 372.935, 'end': 372.995, 'score': 0.991, 'speaker': 'SPEAKER_01'}, {'word': 'I', 'start': 373.015, 'end': 373.075, 'score': 0.996, 'speaker': 'SPEAKER_01'}, {'word': 'just', 'start': 373.115, 'end': 373.255, 'score': 0.947, 'speaker': 'SPEAKER_01'}, {'word': 'search', 'start': 373.295, 'end': 373.595, 'score': 0.791, 'speaker': 'SPEAKER_01'}, {'word': 'those', 'start': 373.635, 'end': 373.835, 'score': 0.717, 'speaker': 'SPEAKER_01'}, {'word': 'terms?', 'start': 373.895, 'end': 374.296, 'score': 0.765, 'speaker': 'SPEAKER_00'}]",SPEAKER_01
119,374.356,375.916,Wouldn't it show me podcasts anyway?,"[{'word': ""Wouldn't"", 'start': 374.356, 'end': 374.536, 'score': 0.346, 'speaker': 'SPEAKER_00'}, {'word': 'it', 'start': 374.596, 'end': 374.676, 'score': 0.344, 'speaker': 'SPEAKER_00'}, {'word': 'show', 'start': 374.696, 'end': 374.976, 'score': 0.6, 'speaker': 'SPEAKER_00'}, {'word': 'me', 'start': 374.996, 'end': 375.056, 'score': 0.302, 'speaker': 'SPEAKER_00'}, {'word': 'podcasts', 'start': 375.076, 'end': 375.496, 'score': 0.661, 'speaker': 'SPEAKER_00'}, {'word': 'anyway?', 'start': 375.576, 'end': 375.916, 'score': 0.975, 'speaker': 'SPEAKER_00'}]",SPEAKER_00
120,375.936,379.317,"No, you might find a list that someone wrote on a website.","[{'word': 'No,', 'start': 375.936, 'end': 376.216, 'score': 0.671, 'speaker': 'SPEAKER_00'}, {'word': 'you', 'start': 376.256, 'end': 376.336, 'score': 0.391, 'speaker': 'SPEAKER_00'}, {'word': 'might', 'start': 376.356, 'end': 376.516, 'score': 0.772, 'speaker': 'SPEAKER_00'}, {'word': 'find', 'start': 376.576, 'end': 376.976, 'score': 0.8, 'speaker': 'SPEAKER_00'}, {'word': 'a', 'start': 377.176, 'end': 377.216, 'score': 0.997, 'speaker': 'SPEAKER_00'}, {'word': 'list', 'start': 377.376, 'end': 377.717, 'score': 0.921, 'speaker': 'SPEAKER_00'}, {'word': 'that', 'start': 377.877, 'end': 378.017, 'score': 0.914, 'speaker': 'SPEAKER_00'}, {'word': 'someone', 'start': 378.057, 'end': 378.357, 'score': 0.823, 'speaker': 'SPEAKER_00'}, {'word': 'wrote', 'start': 378.417, 'end': 378.657, 'score': 0.651, 'speaker': 'SPEAKER_00'}, {'word': 'on', 'start': 378.757, 'end': 378.817, 'score': 0.808, 'speaker': 'SPEAKER_00'}, {'word': 'a', 'start': 378.837, 'end': 378.877, 'score': 0.467, 'speaker': 'SPEAKER_00'}, {'word': 'website.', 'start': 378.917, 'end': 379.317, 'score': 0.704, 'speaker': 'SPEAKER_00'}]",SPEAKER_00
121,379.377,386.239,"Yeah, or if it specifically has that name in the title, but a podcast search just sucks so bad.","[{'word': 'Yeah,', 'start': 379.377, 'end': 379.597, 'score': 0.62, 'speaker': 'SPEAKER_02'}, {'word': 'or', 'start': 379.677, 'end': 379.777, 'score': 0.722, 'speaker': 'SPEAKER_02'}, {'word': 'if', 'start': 379.857, 'end': 379.977, 'score': 0.556, 'speaker': 'SPEAKER_02'}, {'word': 'it', 'start': 380.377, 'end': 380.457, 'score': 0.514, 'speaker': 'SPEAKER_00'}, {'word': 'specifically', 'start': 380.537, 'end': 381.137, 'score': 0.745, 'speaker': 'SPEAKER_02'}, {'word': 'has', 'start': 381.177, 'end': 381.358, 'score': 0.887, 'speaker': 'SPEAKER_02'}, {'word': 'that', 'start': 381.398, 'end': 381.558, 'score': 0.76, 'speaker': 'SPEAKER_02'}, {'word': 'name', 'start': 381.758, 'end': 382.078, 'score': 0.718, 'speaker': 'SPEAKER_02'}, {'word': 'in', 'start': 382.138, 'end': 382.238, 'score': 0.64, 'speaker': 'SPEAKER_02'}, {'word': 'the', 'start': 382.258, 'end': 382.358, 'score': 0.836, 'speaker': 'SPEAKER_02'}, {'word': 'title,', 'start': 382.438, 'end': 382.858, 'score': 0.739, 'speaker': 'SPEAKER_02'}, {'word': 'but', 'start': 383.278, 'end': 383.398, 'score': 0.86, 'speaker': 'SPEAKER_02'}, {'word': 'a', 'start': 383.438, 'end': 383.478, 'score': 0.023, 'speaker': 'SPEAKER_02'}, {'word': 'podcast', 'start': 384.158, 'end': 384.518, 'score': 0.53, 'speaker': 'SPEAKER_02'}, {'word': 'search', 'start': 384.538, 'end': 384.838, 'score': 0.808, 'speaker': 'SPEAKER_02'}, {'word': 'just', 'start': 384.938, 'end': 385.099, 'score': 0.793, 'speaker': 'SPEAKER_02'}, {'word': 'sucks', 'start': 385.279, 'end': 385.599, 'score': 0.92, 'speaker': 'SPEAKER_02'}, {'word': 'so', 'start': 385.699, 'end': 385.899, 'score': 0.996, 'speaker': 'SPEAKER_02'}, {'word': 'bad.', 'start': 385.959, 'end': 386.239, 'score': 0.887, 'speaker': 'SPEAKER_02'}]",SPEAKER_02
122,387.139,394.661,"I feel like you could have a hard time finding this, where if this is actually pulling from the content, and also not just that, but knowing the content of what it is.","[{'word': 'I', 'start': 387.139, 'end': 387.219, 'score': 0.759, 'speaker': 'SPEAKER_02'}, {'word': 'feel', 'start': 387.259, 'end': 387.399, 'score': 0.937, 'speaker': 'SPEAKER_02'}, {'word': 'like', 'start': 387.419, 'end': 387.679, 'score': 0.326, 'speaker': 'SPEAKER_02'}, {'word': 'you', 'start': 387.719, 'end': 387.839, 'score': 0.895, 'speaker': 'SPEAKER_02'}, {'word': 'could', 'start': 387.859, 'end': 388.019, 'score': 0.347, 'speaker': 'SPEAKER_01'}, {'word': 'have', 'start': 388.039, 'end': 388.139, 'score': 0.497, 'speaker': 'SPEAKER_01'}, {'word': 'a', 'start': 388.159, 'end': 388.179, 'score': 0.005, 'speaker': 'SPEAKER_02'}, {'word': 'hard', 'start': 388.199, 'end': 388.319, 'score': 0.438, 'speaker': 'SPEAKER_02'}, {'word': 'time', 'start': 388.359, 'end': 388.519, 'score': 0.676, 'speaker': 'SPEAKER_02'}, {'word': 'finding', 'start': 388.539, 'end': 388.78, 'score': 0.578, 'speaker': 'SPEAKER_02'}, {'word': 'this,', 'start': 388.8, 'end': 388.9, 'score': 0.793, 'speaker': 'SPEAKER_02'}, {'word': 'where', 'start': 388.94, 'end': 389.06, 'score': 0.212, 'speaker': 'SPEAKER_02'}, {'word': 'if', 'start': 389.08, 'end': 389.14, 'score': 0.74, 'speaker': 'SPEAKER_02'}, {'word': 'this', 'start': 389.16, 'end': 389.28, 'score': 0.948, 'speaker': 'SPEAKER_02'}, {'word': 'is', 'start': 389.32, 'end': 389.4, 'score': 0.548, 'speaker': 'SPEAKER_02'}, {'word': 'actually', 'start': 389.44, 'end': 389.7, 'score': 0.848, 'speaker': 'SPEAKER_02'}, {'word': 'pulling', 'start': 389.76, 'end': 390.04, 'score': 0.938, 'speaker': 'SPEAKER_02'}, {'word': 'from', 'start': 390.08, 'end': 390.2, 'score': 0.866, 'speaker': 'SPEAKER_02'}, {'word': 'the', 'start': 390.22, 'end': 390.3, 'score': 0.974, 'speaker': 'SPEAKER_02'}, {'word': 'content,', 'start': 390.36, 'end': 390.8, 'score': 0.813, 'speaker': 'SPEAKER_02'}, {'word': 'and', 'start': 390.96, 'end': 391.06, 'score': 0.686, 'speaker': 'SPEAKER_02'}, {'word': 'also', 'start': 391.18, 'end': 391.42, 'score': 0.905, 'speaker': 'SPEAKER_02'}, {'word': 'not', 'start': 391.48, 'end': 391.6, 'score': 0.816, 'speaker': 'SPEAKER_02'}, {'word': 'just', 'start': 391.62, 'end': 391.76, 'score': 0.412, 'speaker': 'SPEAKER_02'}, {'word': 'that,', 'start': 391.78, 'end': 391.9, 'score': 0.857, 'speaker': 'SPEAKER_02'}, {'word': 'but', 'start': 391.92, 'end': 392.06, 'score': 0.681, 'speaker': 'SPEAKER_02'}, {'word': 'knowing', 'start': 392.461, 'end': 392.861, 'score': 0.801, 'speaker': 'SPEAKER_02'}, {'word': 'the', 'start': 392.921, 'end': 393.021, 'score': 0.818, 'speaker': 'SPEAKER_02'}, {'word': 'content', 'start': 393.061, 'end': 393.521, 'score': 0.876, 'speaker': 'SPEAKER_02'}, {'word': 'of', 'start': 393.701, 'end': 393.781, 'score': 0.886, 'speaker': 'SPEAKER_02'}, {'word': 'what', 'start': 393.861, 'end': 394.021, 'score': 0.831, 'speaker': 'SPEAKER_02'}, {'word': 'it', 'start': 394.081, 'end': 394.121, 'score': 0.992, 'speaker': 'SPEAKER_02'}, {'word': 'is.', 'start': 394.261, 'end': 394.661, 'score': 0.602, 'speaker': 'SPEAKER_02'}]",SPEAKER_02
123,395.141,401.083,"So if you search coffee, it doesn't just mean they said coffee in the transcript once, but the topic is actually","[{'word': 'So', 'start': 395.141, 'end': 395.241, 'score': 0.943, 'speaker': 'SPEAKER_02'}, {'word': 'if', 'start': 395.261, 'end': 395.301, 'score': 0.972, 'speaker': 'SPEAKER_02'}, {'word': 'you', 'start': 395.341, 'end': 395.441, 'score': 0.987, 'speaker': 'SPEAKER_02'}, {'word': 'search', 'start': 395.461, 'end': 395.701, 'score': 0.81, 'speaker': 'SPEAKER_02'}, {'word': 'coffee,', 'start': 395.741, 'end': 396.082, 'score': 0.891, 'speaker': 'SPEAKER_02'}, {'word': 'it', 'start': 396.102, 'end': 396.162, 'score': 0.746, 'speaker': 'SPEAKER_02'}, {'word': ""doesn't"", 'start': 396.182, 'end': 396.382, 'score': 0.833, 'speaker': 'SPEAKER_02'}, {'word': 'just', 'start': 396.422, 'end': 396.542, 'score': 0.87, 'speaker': 'SPEAKER_02'}, {'word': 'mean', 'start': 396.582, 'end': 396.722, 'score': 0.828, 'speaker': 'SPEAKER_02'}, {'word': 'they', 'start': 396.742, 'end': 397.562, 'score': 0.692, 'speaker': 'SPEAKER_02'}, {'word': 'said', 'start': 397.622, 'end': 397.802, 'score': 0.865, 'speaker': 'SPEAKER_02'}, {'word': 'coffee', 'start': 397.922, 'end': 398.302, 'score': 0.841, 'speaker': 'SPEAKER_02'}, {'word': 'in', 'start': 398.342, 'end': 398.442, 'score': 0.604, 'speaker': 'SPEAKER_02'}, {'word': 'the', 'start': 398.462, 'end': 398.522, 'score': 0.937, 'speaker': 'SPEAKER_02'}, {'word': 'transcript', 'start': 398.822, 'end': 399.302, 'score': 0.799, 'speaker': 'SPEAKER_02'}, {'word': 'once,', 'start': 399.403, 'end': 399.563, 'score': 0.807, 'speaker': 'SPEAKER_02'}, {'word': 'but', 'start': 399.583, 'end': 399.863, 'score': 0.732, 'speaker': 'SPEAKER_02'}, {'word': 'the', 'start': 400.023, 'end': 400.183, 'score': 0.801, 'speaker': 'SPEAKER_02'}, {'word': 'topic', 'start': 400.223, 'end': 400.603, 'score': 0.929, 'speaker': 'SPEAKER_02'}, {'word': 'is', 'start': 400.703, 'end': 400.783, 'score': 0.621, 'speaker': 'SPEAKER_02'}, {'word': 'actually', 'start': 400.843, 'end': 401.083, 'score': 0.986, 'speaker': 'SPEAKER_02'}]",SPEAKER_02
124,401.303,407.469,"This is an assumption, by the way, but considering I don't think it diminishes the experience.","[{'word': 'This', 'start': 401.303, 'end': 401.443, 'score': 0.963, 'speaker': 'SPEAKER_02'}, {'word': 'is', 'start': 401.503, 'end': 401.583, 'score': 0.75, 'speaker': 'SPEAKER_02'}, {'word': 'an', 'start': 401.603, 'end': 401.643, 'score': 0.091, 'speaker': 'SPEAKER_02'}, {'word': 'assumption,', 'start': 401.864, 'end': 402.344, 'score': 0.818, 'speaker': 'SPEAKER_02'}, {'word': 'by', 'start': 402.785, 'end': 402.865, 'score': 0.966, 'speaker': 'SPEAKER_02'}, {'word': 'the', 'start': 402.905, 'end': 402.985, 'score': 0.837, 'speaker': 'SPEAKER_02'}, {'word': 'way,', 'start': 403.025, 'end': 403.125, 'score': 0.938, 'speaker': 'SPEAKER_02'}, {'word': 'but', 'start': 403.305, 'end': 403.425, 'score': 0.954, 'speaker': 'SPEAKER_02'}, {'word': 'considering', 'start': 403.525, 'end': 404.186, 'score': 0.832, 'speaker': 'SPEAKER_01'}, {'word': 'I', 'start': 404.226, 'end': 404.266, 'score': 0.012, 'speaker': 'SPEAKER_01'}, {'word': ""don't"", 'start': 405.267, 'end': 405.407, 'score': 0.798, 'speaker': 'SPEAKER_01'}, {'word': 'think', 'start': 405.427, 'end': 405.567, 'score': 0.846, 'speaker': 'SPEAKER_01'}, {'word': 'it', 'start': 405.627, 'end': 405.707, 'score': 0.668, 'speaker': 'SPEAKER_01'}, {'word': 'diminishes', 'start': 405.827, 'end': 406.508, 'score': 0.804, 'speaker': 'SPEAKER_01'}, {'word': 'the', 'start': 406.588, 'end': 406.688, 'score': 0.818, 'speaker': 'SPEAKER_01'}, {'word': 'experience.', 'start': 406.768, 'end': 407.469, 'score': 0.817, 'speaker': 'SPEAKER_01'}]",SPEAKER_01
125,407.889,408.75,I think it's a good idea.,"[{'word': 'I', 'start': 407.889, 'end': 407.95, 'score': 0.691, 'speaker': 'SPEAKER_01'}, {'word': 'think', 'start': 407.97, 'end': 408.11, 'score': 0.826, 'speaker': 'SPEAKER_01'}, {'word': ""it's"", 'start': 408.15, 'end': 408.25, 'score': 0.886, 'speaker': 'SPEAKER_01'}, {'word': 'a', 'start': 408.27, 'end': 408.31, 'score': 0.484, 'speaker': 'SPEAKER_01'}, {'word': 'good', 'start': 408.33, 'end': 408.47, 'score': 0.807, 'speaker': 'SPEAKER_01'}, {'word': 'idea.', 'start': 408.51, 'end': 408.75, 'score': 0.906, 'speaker': 'SPEAKER_01'}]",SPEAKER_01
126,409.771,410.972,"Oh, so all good ideas.","[{'word': 'Oh,', 'start': 409.771, 'end': 409.871, 'score': 0.828, 'speaker': 'SPEAKER_01'}, {'word': 'so', 'start': 410.072, 'end': 410.212, 'score': 0.874, 'speaker': 'SPEAKER_01'}, {'word': 'all', 'start': 410.272, 'end': 410.432, 'score': 0.747, 'speaker': 'SPEAKER_01'}, {'word': 'good', 'start': 410.472, 'end': 410.632, 'score': 0.762, 'speaker': 'SPEAKER_01'}, {'word': 'ideas.', 'start': 410.672, 'end': 410.972, 'score': 0.913, 'speaker': 'SPEAKER_01'}]",SPEAKER_01
127,411.413,414.516,"OK, I never thought that I would think Amazon and A.I.","[{'word': 'OK,', 'start': 411.413, 'end': 411.773, 'score': 0.722, 'speaker': 'SPEAKER_01'}, {'word': 'I', 'start': 411.793, 'end': 411.813, 'score': 0.768, 'speaker': 'SPEAKER_00'}, {'word': 'never', 'start': 411.873, 'end': 412.234, 'score': 0.619, 'speaker': 'SPEAKER_00'}, {'word': 'thought', 'start': 412.254, 'end': 412.474, 'score': 0.464, 'speaker': 'SPEAKER_01'}, {'word': 'that', 'start': 412.494, 'end': 412.614, 'score': 0.93, 'speaker': 'SPEAKER_01'}, {'word': 'I', 'start': 412.634, 'end': 412.654, 'score': 0.979, 'speaker': 'SPEAKER_01'}, {'word': 'would', 'start': 412.694, 'end': 412.874, 'score': 0.85, 'speaker': 'SPEAKER_01'}, {'word': 'think', 'start': 413.074, 'end': 413.235, 'score': 0.841, 'speaker': 'SPEAKER_01'}, {'word': 'Amazon', 'start': 413.495, 'end': 413.875, 'score': 0.898, 'speaker': 'SPEAKER_01'}, {'word': 'and', 'start': 413.915, 'end': 414.436, 'score': 0.753, 'speaker': 'SPEAKER_01'}, {'word': 'A.I.', 'start': 414.456, 'end': 414.516, 'score': 0.118, 'speaker': 'SPEAKER_01'}]",SPEAKER_01
128,414.556,416.157,the same sentence would be a good idea.,"[{'word': 'the', 'start': 414.556, 'end': 414.636, 'score': 0.915, 'speaker': 'SPEAKER_01'}, {'word': 'same', 'start': 414.676, 'end': 414.876, 'score': 0.848, 'speaker': 'SPEAKER_01'}, {'word': 'sentence', 'start': 414.916, 'end': 415.297, 'score': 0.735, 'speaker': 'SPEAKER_01'}, {'word': 'would', 'start': 415.357, 'end': 415.497, 'score': 0.8, 'speaker': 'SPEAKER_01'}, {'word': 'be', 'start': 415.517, 'end': 415.617, 'score': 0.827, 'speaker': 'SPEAKER_01'}, {'word': 'a', 'start': 415.637, 'end': 415.677, 'score': 0.497, 'speaker': 'SPEAKER_01'}, {'word': 'good', 'start': 415.717, 'end': 415.857, 'score': 0.987, 'speaker': 'SPEAKER_01'}, {'word': 'idea.', 'start': 415.917, 'end': 416.157, 'score': 0.925, 'speaker': 'SPEAKER_01'}]",SPEAKER_01
129,416.177,419.12,Amazon idea idea.,"[{'word': 'Amazon', 'start': 416.177, 'end': 416.958, 'score': 0.827, 'speaker': 'SPEAKER_00'}, {'word': 'idea', 'start': 417.098, 'end': 417.639, 'score': 0.938, 'speaker': 'SPEAKER_01'}, {'word': 'idea.', 'start': 417.659, 'end': 419.12, 'score': 0.598, 'speaker': 'SPEAKER_01'}]",SPEAKER_01
130,419.2,420.081,We need to try it.,"[{'word': 'We', 'start': 419.2, 'end': 419.321, 'score': 0.579, 'speaker': 'SPEAKER_00'}, {'word': 'need', 'start': 419.401, 'end': 419.561, 'score': 0.433, 'speaker': 'SPEAKER_00'}, {'word': 'to', 'start': 419.601, 'end': 419.661, 'score': 0.93, 'speaker': 'SPEAKER_00'}, {'word': 'try', 'start': 419.721, 'end': 420.001, 'score': 0.713, 'speaker': 'SPEAKER_00'}, {'word': 'it.', 'start': 420.021, 'end': 420.081, 'score': 0.745, 'speaker': 'SPEAKER_00'}]",SPEAKER_00
131,420.522,420.822,All right.,"[{'word': 'All', 'start': 420.522, 'end': 420.622, 'score': 0.57, 'speaker': 'SPEAKER_00'}, {'word': 'right.', 'start': 420.662, 'end': 420.822, 'score': 0.835, 'speaker': 'SPEAKER_00'}]",SPEAKER_00
132,420.982,421.423,So good idea.,"[{'word': 'So', 'start': 420.982, 'end': 421.082, 'score': 0.662, 'speaker': 'SPEAKER_00'}, {'word': 'good', 'start': 421.102, 'end': 421.222, 'score': 0.912, 'speaker': 'SPEAKER_00'}, {'word': 'idea.', 'start': 421.262, 'end': 421.423, 'score': 1.0, 'speaker': 'SPEAKER_00'}]",SPEAKER_00
133,422.637,426.959,Next is the Ford Bronco and Mustang e-bike thingy.,"[{'word': 'Next', 'start': 422.637, 'end': 422.997, 'score': 0.925, 'speaker': 'SPEAKER_00'}, {'word': 'is', 'start': 423.758, 'end': 423.838, 'score': 0.576, 'speaker': 'SPEAKER_00'}, {'word': 'the', 'start': 423.858, 'end': 423.998, 'score': 0.723, 'speaker': 'SPEAKER_00'}, {'word': 'Ford', 'start': 424.138, 'end': 424.478, 'score': 0.763, 'speaker': 'SPEAKER_00'}, {'word': 'Bronco', 'start': 424.578, 'end': 425.078, 'score': 0.842, 'speaker': 'SPEAKER_00'}, {'word': 'and', 'start': 425.198, 'end': 425.278, 'score': 0.839, 'speaker': 'SPEAKER_00'}, {'word': 'Mustang', 'start': 425.358, 'end': 425.859, 'score': 0.846, 'speaker': 'SPEAKER_00'}, {'word': 'e-bike', 'start': 426.119, 'end': 426.539, 'score': 0.865, 'speaker': 'SPEAKER_00'}, {'word': 'thingy.', 'start': 426.619, 'end': 426.959, 'score': 0.857, 'speaker': 'SPEAKER_00'}]",SPEAKER_00
134,426.979,428.14,Nice.,"[{'word': 'Nice.', 'start': 426.979, 'end': 428.14, 'score': 0.25, 'speaker': 'SPEAKER_00'}]",SPEAKER_00
135,428.44,428.58,Yeah.,"[{'word': 'Yeah.', 'start': 428.44, 'end': 428.58, 'score': 0.567, 'speaker': 'SPEAKER_00'}]",SPEAKER_00
136,429.08,433.702,"Ford is collabing with N Plus, an e-bike company, to release a Bronco and Mustang e-bike.","[{'word': 'Ford', 'start': 429.08, 'end': 429.38, 'score': 0.746, 'speaker': 'SPEAKER_00'}, {'word': 'is', 'start': 429.48, 'end': 429.58, 'score': 0.675, 'speaker': 'SPEAKER_00'}, {'word': 'collabing', 'start': 429.62, 'end': 429.941, 'score': 0.812, 'speaker': 'SPEAKER_00'}, {'word': 'with', 'start': 429.981, 'end': 430.101, 'score': 0.806, 'speaker': 'SPEAKER_00'}, {'word': 'N', 'start': 430.301, 'end': 430.361, 'score': 0.797, 'speaker': 'SPEAKER_00'}, {'word': 'Plus,', 'start': 430.421, 'end': 430.701, 'score': 0.814, 'speaker': 'SPEAKER_00'}, {'word': 'an', 'start': 430.761, 'end': 430.841, 'score': 0.664, 'speaker': 'SPEAKER_00'}, {'word': 'e-bike', 'start': 430.921, 'end': 431.201, 'score': 0.693, 'speaker': 'SPEAKER_00'}, {'word': 'company,', 'start': 431.241, 'end': 431.521, 'score': 0.903, 'speaker': 'SPEAKER_00'}, {'word': 'to', 'start': 431.541, 'end': 431.621, 'score': 0.686, 'speaker': 'SPEAKER_00'}, {'word': 'release', 'start': 431.661, 'end': 431.882, 'score': 0.845, 'speaker': 'SPEAKER_00'}, {'word': 'a', 'start': 431.982, 'end': 432.022, 'score': 0.714, 'speaker': 'SPEAKER_00'}, {'word': 'Bronco', 'start': 432.062, 'end': 432.482, 'score': 0.886, 'speaker': 'SPEAKER_00'}, {'word': 'and', 'start': 432.642, 'end': 432.742, 'score': 0.709, 'speaker': 'SPEAKER_00'}, {'word': 'Mustang', 'start': 432.802, 'end': 433.222, 'score': 0.852, 'speaker': 'SPEAKER_00'}, {'word': 'e-bike.', 'start': 433.382, 'end': 433.702, 'score': 0.835, 'speaker': 'SPEAKER_00'}]",SPEAKER_00
